
v_rms,i_rms,p_real,s_apparent,pf,q_reactive,crest_factor,thd,label_bulb100,label_bulb60,label_iron,label_charger,timestamp
253.9,0.0,0.0,0.0,0.0,0.0,0.0,9.339,0,0,0,0,1782503690.6287394
250.1,0.0,0.0,0.0,0.0,0.0,0.0,6.161,0,0,0,0,1782503691.653295
247.3,0.0,0.0,0.0,0.0,0.0,0.0,6.121,0,0,0,0,1782503692.3701782
249.9,0.0,0.0,0.0,0.0,0.0,0.0,29.652,0,0,0,0,1782503693.259874
245.7,0.0,0.0,0.0,0.0,0.0,0.0,14.313,0,0,0,0,1782503694.1110568
244.1,0.0,0.0,0.0,0.0,0.0,0.0,171.116,0,0,0,0,1782503694.5219686
245.8,0.0,0.0,0.0,0.0,0.0,0.0,8.536,0,0,0,0,1782503695.4018724
247.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836,0,0,0,0,1782503696.2697153
243.8,0.0,0.0,0.0,0.0,0.0,0.0,8.491,0,0,0,0,1782503696.72349
248.4,0.0,0.0,0.0,0.0,0.0,0.0,17.708,0,0,0,0,1782503697.1482286
238.5,0.0,0.0,0.0,0.0,0.0,0.0,8.597,0,0,0,0,1782503698.0702689
247.3,0.0,0.0,0.0,0.0,0.0,0.0,7.698,0,0,0,0,1782503698.9247189
252.7,0.0,0.0,0.0,0.0,0.0,0.0,71.511,0,0,0,0,1782503699.8452694
251.3,0.0,0.0,0.0,0.0,0.0,0.0,3.274,0,0,0,0,1782503700.7354963
247.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54,0,0,0,0,1782503701.5861757
241.0,0.0,0.0,0.0,0.0,0.0,0.0,7.078,0,0,0,0,1782503702.0970025
246.0,0.0,0.0,0.0,0.0,0.0,0.0,16.086,0,0,0,0,1782503702.9173932
251.2,0.0,0.0,0.0,0.0,0.0,0.0,38.473,0,0,0,0,1782503703.7079344
243.9,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0,0,0,0,1782503704.145146
239.3,0.0,0.0,0.0,0.0,0.0,0.0,43.977,0,0,0,0,1782503705.0677762
249.5,0.0,0.0,0.0,0.0,0.0,0.0,5.006,0,0,0,0,1782503705.8977993
249.9,0.0,0.0,0.0,0.0,0.0,0.0,34.013,0,0,0,0,1782503706.8111172
253.7,0.0,0.0,0.0,0.0,0.0,0.0,8.513,0,0,0,0,1782503707.730098
239.6,0.0,0.0,0.0,0.0,0.0,0.0,45.504,0,0,0,0,1782503708.141626
244.3,0.0,0.0,0.0,0.0,0.0,0.0,6.297,0,0,0,0,1782503708.524121
244.3,0.0,0.0,0.0,0.0,0.0,0.0,15.817,0,0,0,0,1782503709.4268482
244.0,0.0,0.0,0.0,0.0,0.0,0.0,17.852,0,0,0,0,1782503709.8370285
240.8,0.0,0.0,0.0,0.0,0.0,0.0,4.831,0,0,0,0,1782503710.7066257
250.3,0.0,0.0,0.0,0.0,0.0,0.0,11.032,0,0,0,0,1782503711.6223357
247.3,0.0,0.0,0.0,0.0,0.0,0.0,10.669,0,0,0,0,1782503712.747526
248.8,0.0,0.0,0.0,0.0,0.0,0.0,17.787,0,0,0,0,1782503713.361993
247.7,0.0,0.0,0.0,0.0,0.0,0.0,6.629,0,0,0,0,1782503714.2895858
241.1,0.0,0.0,0.0,0.0,0.0,0.0,18.166,0,0,0,0,1782503715.1051736
244.1,0.0,0.0,0.0,0.0,0.0,0.0,20.891,0,0,0,0,1782503716.0246162
249.1,0.0,0.0,0.0,0.0,0.0,0.0,3.859,0,0,0,0,1782503716.9460542
249.2,0.0,0.0,0.0,0.0,0.0,0.0,10.147,0,0,0,0,1782503717.768115
247.2,0.0,0.0,0.0,0.0,0.0,0.0,9.237,0,0,0,0,1782503718.5955875
252.9,0.0,0.0,0.0,0.0,0.0,0.0,47.71,0,0,0,0,1782503719.5053122
249.9,0.0,0.0,0.0,0.0,0.0,0.0,8.057,0,0,0,0,1782503720.3238332
249.7,0.0,0.0,0.0,0.0,0.0,0.0,3.788,0,0,0,0,1782503721.24584
241.4,0.0,0.0,0.0,0.0,0.0,0.0,10.65,0,0,0,0,1782503721.6564972
248.2,0.0,0.0,0.0,0.0,0.0,0.0,4.784,0,0,0,0,1782503722.5776029
254.5,0.0,0.0,0.0,0.0,0.0,0.0,13.026,0,0,0,0,1782503723.395728
241.1,0.0,0.0,0.0,0.0,0.0,0.0,7.956,0,0,0,0,1782503723.8233354
243.1,0.0,0.0,0.0,0.0,0.0,0.0,6.331,0,0,0,0,1782503724.321493
249.2,0.0,0.0,0.0,0.0,0.0,0.0,18.114,0,0,0,0,1782503725.1354384
247.2,0.0,0.0,0.0,0.0,0.0,0.0,3.231,0,0,0,0,1782503725.5740397
244.6,0.0,0.0,0.0,0.0,0.0,0.0,3.806,0,0,0,0,1782503726.0189793
244.8,0.0,0.0,0.0,0.0,0.0,0.0,14.131,0,0,0,0,1782503726.4531672
240.2,0.0,0.0,0.0,0.0,0.0,0.0,13.752,0,0,0,0,1782503726.8957388
254.0,0.0,0.0,0.0,0.0,0.0,0.0,4.499,0,0,0,0,1782503727.3333893
246.9,0.0,0.0,0.0,0.0,0.0,0.0,8.559,0,0,0,0,1782503728.3106532
247.0,0.0,0.0,0.0,0.0,0.0,0.0,8.663,0,0,0,0,1782503729.1312954
245.3,0.0,0.0,0.0,0.0,0.0,0.0,12.08,0,0,0,0,1782503729.9656043
242.4,0.0,0.0,0.0,0.0,0.0,0.0,9.089,0,0,0,0,1782503730.8720107
248.7,0.0,0.0,0.0,0.0,0.0,0.0,4.027,0,0,0,0,1782503731.7938397
252.3,0.0,0.0,0.0,0.0,0.0,0.0,7.074,0,0,0,0,1782503732.6132717
252.5,0.0,0.0,0.0,0.0,0.0,0.0,13.852,0,0,0,0,1782503733.5362494
250.4,0.0,0.0,0.0,0.0,0.0,0.0,7.584,0,0,0,0,1782503734.355991
245.7,0.0,0.0,0.0,0.0,0.0,0.0,11.915,0,0,0,0,1782503735.2754624
249.7,0.0,0.0,0.0,0.0,0.0,0.0,13.077,0,0,0,0,1782503736.0945652
248.2,0.0,0.0,0.0,0.0,0.0,0.0,6.411,0,0,0,0,1782503737.016154
244.6,0.0,0.0,0.0,0.0,0.0,0.0,3.029,0,0,0,0,1782503737.8354745
248.9,0.0,0.0,0.0,0.0,0.0,0.0,7.495,0,0,0,0,1782503738.725304
247.0,0.0,0.0,0.0,0.0,0.0,0.0,19.195,0,0,0,0,1782503739.1435168
245.5,0.0,0.0,0.0,0.0,0.0,0.0,5.102,0,0,0,0,1782503740.087634
243.6,0.0,0.0,0.0,0.0,0.0,0.0,6.507,0,0,0,0,1782503740.9074523
254.6,0.0,0.0,0.0,0.0,0.0,0.0,6.404,0,0,0,0,1782503741.8291805
254.0,0.0,0.0,0.0,0.0,0.0,0.0,7.586,0,0,0,0,1782503742.3417337
250.1,0.0,0.0,0.0,0.0,0.0,0.0,25.926,0,0,0,0,1782503743.1587973
244.8,0.0,0.0,0.0,0.0,0.0,0.0,5.135,0,0,0,0,1782503743.5281866
252.8,0.0,0.0,0.0,0.0,0.0,0.0,5.876,0,0,0,0,1782503744.4913285
244.9,0.0,0.0,0.0,0.0,0.0,0.0,7.341,0,0,0,0,1782503745.3106122
249.8,0.0,0.0,0.0,0.0,0.0,0.0,4.908,0,0,0,0,1782503745.720019
253.9,0.0,0.0,0.0,0.0,0.0,0.0,12.375,0,0,0,0,1782503746.5879247
250.9,0.0,0.0,0.0,0.0,0.0,0.0,4.427,0,0,0,0,1782503747.4602368
246.3,0.0,0.0,0.0,0.0,0.0,0.0,9.934,0,0,0,0,1782503748.3824806
247.6,0.0,0.0,0.0,0.0,0.0,0.0,7.543,0,0,0,0,1782503749.3040972
241.5,0.0,0.0,0.0,0.0,0.0,0.0,14.804,0,0,0,0,1782503750.1215005
247.5,0.0,0.0,0.0,0.0,0.0,0.0,3.263,0,0,0,0,1782503751.4523916
265.6,0.0,0.0,0.0,0.0,0.0,0.0,7.724,0,0,0,0,1782503752.2715976
251.5,0.0,0.0,0.0,0.0,0.0,0.0,15.087,0,0,0,0,1782503753.193116
254.4,0.0,0.0,0.0,0.0,0.0,0.0,7.818,0,0,0,0,1782503754.015525
240.6,0.0,0.0,0.0,0.0,0.0,0.0,7.007,0,0,0,0,1782503754.936034
246.8,0.0,0.0,0.0,0.0,0.0,0.0,4.715,0,0,0,0,1782503755.8246293
249.9,0.0,0.0,0.0,0.0,0.0,0.0,7.619,0,0,0,0,1782503756.7180033
240.6,0.0,0.0,0.0,0.0,0.0,0.0,33.463,0,0,0,0,1782503758.2205293
242.8,0.0,0.0,0.0,0.0,0.0,0.0,5.067,0,0,0,0,1782503758.8273566
263.3,0.0,0.0,0.0,0.0,0.0,0.0,10.723,0,0,0,0,1782503759.748633
248.1,0.0,0.0,0.0,0.0,0.0,0.0,5.275,0,0,0,0,1782503760.5672095
244.8,0.0,0.0,0.0,0.0,0.0,0.0,6.227,0,0,0,0,1782503761.489451
248.4,0.0,0.0,0.0,0.0,0.0,0.0,18.218,0,0,0,0,1782503762.4149592
249.4,0.0,0.0,0.0,0.0,0.0,0.0,4.239,0,0,0,0,1782503763.230393
243.0,0.0,0.0,0.0,0.0,0.0,0.0,20.863,0,0,0,0,1782503764.0500543
245.1,0.0,0.0,0.0,0.0,0.0,0.0,3.914,0,0,0,0,1782503764.9578342
250.8,0.0,0.0,0.0,0.0,0.0,0.0,8.142,0,0,0,0,1782503766.2605898
